Source,Target,Weight,Type
GE,CBR,1.24,excitatory
VKR,YB,0.67,excitatory
FMR,STL,0.74,excitatory
BDR,WH,1.91,excitatory
CDR,WPR,0.79,excitatory
IER,WS,1.65,excitatory
GER,ENR,0.47,excitatory
YT,BD,1.27,excitatory
ZT,CYR,0.25,excitatory
PM,WUR,1.21,excitatory
ENR,UG,0.65,excitatory
FA,CZL,0.63,excitatory
NO,XUR,1.81,excitatory
GZ,LEL,0.66,excitatory
OHR,FN,1.96,excitatory
BRL,YPL,0.13,excitatory
AXL,DML,1.59,excitatory
HI,GSR,1.99,excitatory
VUL,YTR,1.53,excitatory
FXL,ZRR,0.58,excitatory
ZT,GNR,1.83,excitatory
UP,ECL,0.84,excitatory
FVR,PIL,0.34,excitatory
AE,UVL,0.15,excitatory
IJR,FUL,1.52,excitatory
OHR,WFL,1.26,excitatory
IJ,ZX,1.26,excitatory
WL,GHL,0.11,excitatory
WF,EUR,1.47,excitatory
FN,YP,0.66,excitatory
MP,WL,0.58,excitatory
HDL,WJL,1.32,excitatory
LK,LTR,0.18,excitatory
WGL,WF,0.78,excitatory
FU,BER,1.07,excitatory
LUR,FO,1.46,excitatory
TIR,FH,0.29,excitatory
TIR,PIL,1.89,excitatory
ZGL,IRL,1.5,excitatory
PNL,VOL,1.04,excitatory
DD,NPR,0.3,excitatory
EM,IO,1.07,excitatory
UVL,LAL,1.04,excitatory
PJR,XI,1.28,excitatory
SRR,CV,0.93,excitatory
FVR,DFL,1.52,excitatory
AX,RLR,1.39,excitatory
GSR,DRR,0.22,excitatory
GUL,WF,1.51,excitatory
ZBL,AVR,0.82,excitatory
XE,CBR,0.3,excitatory
EUR,SE,0.22,excitatory
ASL,LO,1.65,excitatory
AOL,KS,1.93,excitatory
GCR,XT,1.49,excitatory
NV,JV,1.14,excitatory
ENR,HDL,0.43,excitatory
YTR,SAR,0.17,excitatory
LM,FJR,1.5,excitatory
WAL,MR,1.22,excitatory
MDR,NXL,0.53,excitatory
SD,BX,1.37,excitatory
TOL,WIL,0.41,excitatory
WOL,WI,0.69,excitatory
GNR,ZJ,1.45,excitatory
UKR,PJL,1.08,excitatory
PIL,FZR,1.76,excitatory
RGR,PJL,0.57,excitatory
SBL,FIL,1.32,excitatory
GNR,WGL,1.31,excitatory
EZL,CX,1.52,excitatory
ZT,EHL,1.48,excitatory
ZT,JO,0.9,excitatory
AP,GE,1.73,excitatory
NV,ASL,0.85,excitatory
NW,YBL,1.75,excitatory
JV,OHR,1.76,excitatory
PZL,ZJ,0.17,excitatory
LXR,IRL,0.14,excitatory
ZR,ZGL,0.25,excitatory
EER,VI,1.73,excitatory
RGR,GBL,1.68,excitatory
ISL,PSR,1.38,excitatory
YUL,ZWL,0.19,excitatory
CNR,XIR,0.54,excitatory
IJR,EER,1.14,excitatory
UT,ZGL,0.82,excitatory
UG,GZ,0.77,excitatory
ZT,DGL,0.72,excitatory
DD,ECL,0.94,excitatory
GHL,WFR,1.85,excitatory
NT,TBR,0.96,excitatory
YB,OJL,0.7,excitatory
BDR,YTL,0.89,excitatory
ISL,IJ,1.65,excitatory
GER,PIL,1.26,excitatory
VI,JRR,0.96,excitatory
VZR,IRL,1.15,excitatory
SSL,BX,1.13,excitatory
YTR,PJL,0.2,excitatory
DML,DUL,1.84,excitatory
CBR,XL,1.38,excitatory
MLR,JRR,0.38,excitatory
ESR,WB,1.48,excitatory
YT,VUL,0.37,excitatory
MF,LUR,1.1,excitatory
VZR,NT,0.79,excitatory
EGL,KAL,1.78,excitatory
JJR,WSL,1.69,excitatory
XEL,VI,1.14,excitatory
VAL,OT,0.54,excitatory
WB,MPR,0.32,excitatory
JH,WP,0.99,excitatory
IRL,JR,0.72,excitatory
BRL,YT,0.97,excitatory
HK,KG,1.39,excitatory
IJR,ZR,0.93,excitatory
IAL,KM,0.75,excitatory
WSL,PJL,1.06,excitatory
TBR,SE,0.34,excitatory
VKR,FMR,0.4,excitatory
IDR,VF,0.22,excitatory
CJ,MZ,0.91,excitatory
GE,TOL,0.21,excitatory
OOL,IER,0.65,excitatory
YTR,MP,1.47,excitatory
IX,TFR,0.65,excitatory
IER,EHL,1.33,excitatory
MZL,JAL,1.31,excitatory
OCR,VOL,0.75,excitatory
HYR,AG,1.6,excitatory
GJL,FA,1.24,excitatory
SJR,WP,1.15,excitatory
IYL,AVR,0.61,excitatory
SJR,NKL,0.99,excitatory
EER,SE,0.43,excitatory
NO,IJR,1.73,excitatory
CJ,WJL,0.12,excitatory
HDL,GUL,1.27,excitatory
IYL,NT,0.4,excitatory
JJR,VAL,1.43,excitatory
BD,OHR,1.19,excitatory
FUL,MXR,1.46,excitatory
MLR,JRR,0.93,excitatory
SBL,BE,1.07,excitatory
EZL,YT,0.69,excitatory
GML,HA,1.84,excitatory
BBR,DGL,0.57,excitatory
VKR,WS,1.17,excitatory
EHL,BER,0.35,excitatory
DF,WJ,0.97,excitatory
FZR,DD,1.54,excitatory
PZL,LXR,0.66,excitatory
VC,IJR,0.6,excitatory
VF,NXL,1.42,excitatory
VC,TL,1.25,excitatory
EER,TU,0.88,excitatory
RHR,HHR,0.78,excitatory
TU,NCR,0.5,excitatory
SRR,IRL,0.44,excitatory
EDR,WOL,0.59,excitatory
HRR,HW,1.78,excitatory
WAL,JOR,1.16,excitatory
WAL,DFL,0.79,excitatory
KOR,VC,1.99,excitatory
PZL,NT,1.81,excitatory
BD,CDR,0.83,excitatory
ZUL,CDR,1.68,excitatory
ASL,OHR,0.75,excitatory
XJ,VUL,0.48,excitatory
XML,SD,0.88,excitatory
ECL,BRR,1.47,excitatory
YP,ZYR,0.94,excitatory
HA,MML,0.19,excitatory
YTL,OT,0.5,excitatory
VZR,ZM,0.51,excitatory
JGR,PSR,1.41,excitatory
IX,MR,0.13,excitatory
GSR,DI,0.91,excitatory
NXL,SD,1.02,excitatory
RLR,UKR,1.48,excitatory
LO,SU,0.21,excitatory
ZRR,GML,1.82,excitatory
IO,GZL,1.04,excitatory
NCR,GD,1.7,excitatory
HHR,DRL,1.08,excitatory
XT,SU,0.4,excitatory
BKL,EDR,1.57,excitatory
TOL,UT,1.58,excitatory
PM,CNR,0.39,excitatory
OHR,NCR,0.18,excitatory
CYR,BTR,1.26,excitatory
CIL,AOL,0.94,excitatory
MPR,DRL,0.18,excitatory
MPR,WDR,0.65,excitatory
FMR,XI,0.85,excitatory
TU,IJR,1.6,excitatory
WLR,KIR,1.33,excitatory
XIR,DFL,0.35,excitatory
KAL,ZYR,0.47,excitatory
ENR,JAL,0.48,excitatory
YPL,IYL,0.48,excitatory
PJR,BTR,0.36,excitatory
XHL,FA,0.46,excitatory
WIL,MZ,1.02,excitatory
LO,TLR,1.89,excitatory
XT,WLR,0.93,excitatory
UP,DFL,0.85,excitatory
XI,MYR,1.11,excitatory
CYR,FR,1.15,excitatory
FKR,UAR,1.47,excitatory
GML,DVL,0.5,excitatory
AOL,YDR,1.16,excitatory
UE,ZRR,1.7,excitatory
MCL,JH,0.26,excitatory
IO,JV,0.33,excitatory
MCL,FUL,1.17,excitatory
DC,AI,1.16,excitatory
JRR,VOL,0.21,excitatory
GSR,GHL,1.34,excitatory
BRL,UP,1.05,excitatory
GIL,UKR,0.79,excitatory
NI,IJR,1.95,excitatory
PYL,BRL,1.37,excitatory
ALL,NI,1.37,excitatory
LEL,SSL,1.15,excitatory
AX,LX,0.19,excitatory
OKL,VZ,1.42,excitatory
NW,GER,0.7,excitatory
WFL,ISL,1.26,excitatory
LM,WJ,1.45,excitatory
AS,GHL,0.56,excitatory
FXL,RHR,1.94,excitatory
IAL,GE,1.6,excitatory
YB,FVR,1.03,excitatory
MXR,MZ,0.28,excitatory
UE,BER,0.87,excitatory
PJR,ZUL,1.77,excitatory
GYL,UT,1.8,excitatory
DFL,WI,1.37,excitatory
BBR,JV,0.67,excitatory
IPL,EGL,0.87,excitatory
NCR,PYL,0.99,excitatory
BRR,HSR,0.93,excitatory
VZR,UAR,0.44,excitatory
TOL,PSR,0.43,excitatory
NCR,YB,0.68,excitatory
YZL,HJ,0.46,excitatory
OOL,NXL,0.15,excitatory
SD,HR,1.44,excitatory
NPR,VOL,0.28,excitatory
HW,PM,1.02,excitatory
HN,NCR,1.38,excitatory
IX,PJL,0.86,excitatory
AP,BX,1.99,excitatory
UKR,SBL,0.37,excitatory
DRL,HU,1.12,excitatory
OCR,DVR,0.84,excitatory
NV,DC,1.57,excitatory
WPR,YTL,1.97,excitatory
FVR,MXR,1.59,excitatory
HER,WJL,0.21,excitatory
TL,PJL,1.13,excitatory
CJ,BDR,0.8,excitatory
YN,DI,1.04,excitatory
LX,UB,0.51,excitatory
AE,HFR,1.78,excitatory
CX,FIL,1.15,excitatory
AP,TIR,1.51,excitatory
ECL,IJ,0.99,excitatory
GF,XEL,1.59,excitatory
PNL,WDL,0.81,excitatory
FZR,FN,0.1,excitatory
IJR,LK,1.3,excitatory
ASL,XIR,1.71,excitatory
OCR,JV,1.38,excitatory
GD,LEL,1.77,excitatory
DVL,ZZR,1.08,excitatory
HLL,BWR,1.05,excitatory
JV,HW,1.41,excitatory
ES,FR,1.04,excitatory
VAL,AXL,0.64,excitatory
WFL,LH,1.48,excitatory
DML,XHL,1.59,excitatory
EGL,HYR,0.27,excitatory
FXL,CIL,1.87,excitatory
GIL,VOL,0.55,excitatory
UKR,KOR,1.28,excitatory
WDL,WF,0.2,excitatory
GJL,FO,0.74,excitatory
FFR,KOR,1.82,excitatory
GE,FZR,1.22,excitatory
MZL,BA,0.68,excitatory
UG,PZL,1.1,excitatory
PSR,SRR,0.55,excitatory
HJ,IDR,1.05,excitatory
FMR,MPR,1.74,excitatory
UT,FJR,0.33,excitatory
DUL,UP,1.38,excitatory
XJ,GML,1.51,excitatory
KM,NXL,1.21,excitatory
XT,XJ,0.35,excitatory
TLR,OJR,1.89,excitatory
BX,PIL,0.38,excitatory
LB,DFL,0.38,excitatory
RLR,ISL,0.97,excitatory
YN,AE,1.02,excitatory
WGL,ZR,1.12,excitatory
XUR,XNR,1.88,excitatory
MLR,HK,1.17,excitatory
MCL,YPL,1.94,excitatory
KAL,TBR,1.99,excitatory
JMR,UG,1.73,excitatory
WFR,GD,0.6,excitatory
MDR,XEL,0.66,excitatory
BX,TFR,0.35,excitatory
RHR,WH,1.07,excitatory
TIR,FN,0.26,excitatory
HN,JOR,0.23,excitatory
LTR,JR,1.53,excitatory
UP,WDR,0.45,excitatory
LEL,IVL,0.84,excitatory
GBL,HDL,1.81,excitatory
ISL,VI,0.9,excitatory
VC,ISL,1.98,excitatory
JV,PZL,1.78,excitatory
GML,BD,1.71,excitatory
SU,HW,1.21,excitatory
DU,XNR,1.41,excitatory
JGR,GE,0.71,excitatory
TJ,WF,0.46,excitatory
WI,DRR,0.42,excitatory
FN,KIR,1.35,excitatory
XEL,UT,1.23,excitatory
MLR,ES,1.53,excitatory
CIL,ZCL,0.39,excitatory
PZL,VI,1.33,excitatory
UFR,MOL,1.41,excitatory
AKR,ISL,1.65,excitatory
HR,WDR,1.22,excitatory
RRR,VZ,0.97,excitatory
DML,JR,1.32,excitatory
SJR,FH,1.61,excitatory
GYL,UVL,1.35,excitatory
FUL,HFR,0.2,excitatory
PIL,YPR,1.22,excitatory
FO,VW,0.71,excitatory
XV,EGL,1.59,excitatory
DF,YDR,1.41,excitatory
MLR,OOL,0.31,excitatory
GU,YB,0.46,excitatory
OCR,SU,1.12,excitatory
MY,LM,0.77,excitatory
CNR,XL,0.88,excitatory
WL,BER,0.99,excitatory
ZR,JOR,0.76,excitatory
KOR,BE,0.8,excitatory
ZYR,DFL,0.75,excitatory
ML,GIL,1.78,excitatory
YZL,ZM,0.12,excitatory
MYR,GBL,1.13,excitatory
PPR,WPR,0.37,excitatory
BTR,HN,1.12,excitatory
GIL,GCR,1.08,excitatory
JAL,YZL,1.6,excitatory
BKL,LTR,1.58,excitatory
PZL,MDR,1.67,excitatory
GU,OJR,1.18,excitatory
ESR,DUL,1.55,excitatory
PM,JH,0.69,excitatory
VC,CBR,1.64,excitatory
KAL,BA,1.58,excitatory
AS,YTR,0.91,excitatory
VAL,WS,1.61,excitatory
UG,PM,0.38,excitatory
NT,PV,0.43,excitatory
GHL,UP,0.54,excitatory
LB,AKR,0.87,excitatory
WJ,AE,1.7,excitatory
RSR,UB,0.72,excitatory
YPL,DRR,1.0,excitatory
AE,NXL,1.83,excitatory
CRL,MVR,1.12,excitatory
KOR,OCR,1.3,excitatory
YUL,VC,1.54,excitatory
GU,NCR,1.43,excitatory
AI,FU,0.73,excitatory
UP,DU,0.39,excitatory
EER,FJR,1.84,excitatory
NCR,YB,0.77,excitatory
GD,ZCL,1.15,excitatory
FZR,IER,1.77,excitatory
FZR,GER,1.57,excitatory
AX,GD,1.47,excitatory
JRR,TU,0.88,excitatory
JV,LEL,0.29,excitatory
KS,WOL,0.11,excitatory
HSR,VI,1.01,excitatory
PJR,VJL,1.39,excitatory
YZL,ZGL,0.22,excitatory
GML,NV,0.23,excitatory
MDR,MOL,1.71,excitatory
DUL,FKR,1.87,excitatory
TOL,EUR,1.3,excitatory
ES,HER,0.63,excitatory
DFL,AS,0.23,excitatory
PJR,XMR,0.81,excitatory
ZZR,OJL,0.84,excitatory
OT,TL,1.54,excitatory
NXL,EZL,1.5,excitatory
ZJ,WSL,0.71,excitatory
DY,TL,0.52,excitatory
CRL,CJ,1.57,excitatory
XML,EDR,1.99,excitatory
WLR,XEL,0.33,excitatory
HI,GZ,0.15,excitatory
HI,HU,0.29,excitatory
AKR,MPR,0.84,excitatory
GIL,HW,1.35,excitatory
AXL,IVL,1.92,excitatory
FH,FMR,1.75,excitatory
DY,UT,0.63,excitatory
XL,WLR,0.95,excitatory
WJL,XT,0.89,excitatory
PV,BX,0.99,excitatory
IRL,IJR,1.02,excitatory
JGR,PM,1.51,excitatory
IAL,GUL,1.77,excitatory
GE,UG,0.99,excitatory
RLR,LO,1.87,excitatory
XMR,AG,0.54,excitatory
CJ,AIL,1.71,excitatory
AX,PO,1.54,excitatory
EZL,MCL,1.27,excitatory
JT,ZRR,0.39,excitatory
AVR,IX,0.13,excitatory
GZL,PIL,1.14,excitatory
WFL,DFL,1.26,excitatory
ASL,BER,1.53,excitatory
ASL,FUL,0.17,excitatory
SAR,OJL,0.72,excitatory
VJL,MYR,0.44,excitatory
VW,GNR,1.15,excitatory
WJL,VAL,1.4,excitatory
DGL,MZ,0.85,excitatory
ZX,IX,0.92,excitatory
VZR,HA,1.46,excitatory
LB,JR,1.13,excitatory
SE,WOL,1.21,excitatory
AKR,MZL,1.28,excitatory
CBR,WDL,0.47,excitatory
VZ,IRL,1.92,excitatory
HFR,JV,1.29,excitatory
AG,AS,0.78,excitatory
XI,YZL,0.87,excitatory
GER,TOR,0.6,excitatory
JR,BER,0.89,excitatory
NV,SAR,1.23,excitatory
DVR,TBR,0.98,excitatory
SE,TU,1.24,excitatory
VZ,XML,0.77,excitatory
NPR,NCR,0.71,excitatory
XI,KAL,1.13,excitatory
TJ,DI,1.94,excitatory
XV,XT,0.21,excitatory
MP,YZL,1.96,excitatory
GF,DFL,1.24,excitatory
WH,TLR,0.31,excitatory
DFL,ECL,0.28,excitatory
HSR,XML,0.18,excitatory
GJL,GZL,0.58,excitatory
ZR,MR,1.68,excitatory
NT,ALL,0.41,excitatory
WH,LX,0.24,excitatory
JO,NV,1.69,excitatory
CX,AXL,0.94,excitatory
FN,XNR,1.2,excitatory
TFR,PSR,1.64,excitatory
LEL,WOL,1.56,excitatory
EZL,GCR,1.8,excitatory
GEL,LB,1.24,excitatory
WFL,BKL,1.56,excitatory
DGL,YTL,0.5,excitatory
NXL,ZGL,1.59,excitatory
BPR,LB,0.41,excitatory
IJ,FMR,0.49,excitatory
HA,ZCL,1.7,excitatory
WP,XML,1.37,excitatory
XML,NT,0.54,excitatory
LXR,FMR,0.7,excitatory
KG,GSR,0.93,excitatory
EHL,DC,1.12,excitatory
SE,KOR,0.18,excitatory
SJR,IDR,0.42,excitatory
JO,MF,0.64,excitatory
XE,FUL,1.12,excitatory
VC,FXL,1.42,excitatory
LH,ML,0.22,excitatory
GER,ZRR,0.74,excitatory
AS,NW,1.14,excitatory
GU,BA,0.19,excitatory
BBR,ZR,1.91,excitatory
GSR,WDR,1.31,excitatory
DRL,ENR,1.01,excitatory
WGL,BDR,1.84,excitatory
BWR,PIL,1.37,excitatory
AE,ZUL,0.5,excitatory
GER,PO,1.64,excitatory
BE,DF,0.17,excitatory
ISL,TF,0.8,excitatory
WGL,YPL,1.56,excitatory
MZL,DFL,1.62,excitatory
FA,MF,0.4,excitatory
EER,JH,1.1,excitatory
NT,LX,0.14,excitatory
SAR,TOL,1.58,excitatory
YB,UT,1.58,excitatory
WFL,EM,1.48,excitatory
VKR,ML,0.21,excitatory
GYL,WOL,1.7,excitatory
VKR,BRL,1.62,excitatory
TIR,NW,1.93,excitatory
VF,FH,0.81,excitatory
IO,IJR,1.66,excitatory
DML,NKL,1.64,excitatory
DRL,DU,0.12,excitatory
MP,KS,0.46,excitatory
EZL,BD,0.56,excitatory
CJ,GD,0.44,excitatory
IAL,NO,1.37,excitatory
WPR,MDR,1.97,excitatory
JOR,FMR,0.44,excitatory
KM,DC,1.09,excitatory
ZWL,ZM,1.07,excitatory
KRR,ECL,1.22,excitatory
YN,JH,0.28,excitatory
DGL,RGR,1.15,excitatory
KS,DVL,0.73,excitatory
MXR,XV,0.72,excitatory
ES,VKR,1.48,excitatory
OOL,HER,0.27,excitatory
ZRR,IER,0.9,excitatory
UOL,ALL,0.78,excitatory
NPR,YDR,1.14,excitatory
KG,ECL,0.24,excitatory
ML,DRL,0.46,excitatory
RGR,PSR,1.14,excitatory
XUR,AKR,0.52,excitatory
XT,WJ,1.19,excitatory
WJ,LK,0.26,excitatory
JGR,YDR,0.35,excitatory
VJL,YPL,0.98,excitatory
XL,DGL,1.91,excitatory
LTR,AKR,1.43,excitatory
FJR,LH,0.45,excitatory
ASL,NCR,0.34,excitatory
GCR,LX,0.37,excitatory
CV,YPL,1.38,excitatory
YTL,WP,0.55,excitatory
YBL,EGL,1.78,excitatory
PJR,LB,1.44,excitatory
WFL,GEL,1.71,excitatory
JOR,JR,0.88,excitatory
HFR,RGR,0.8,excitatory
DVL,GCR,1.75,excitatory
TLR,FR,1.58,excitatory
FFR,SJR,0.62,excitatory
RGR,ZUL,0.43,excitatory
BBR,MPR,1.14,excitatory
FXL,XV,0.14,excitatory
NPR,YTL,1.07,excitatory
KRR,ENR,0.19,excitatory
PNL,JO,1.75,excitatory
UP,AI,0.44,excitatory
GML,BWR,1.82,excitatory
PO,IYL,1.1,excitatory
ML,WJL,1.49,excitatory
CIL,WF,1.81,excitatory
JGR,HI,1.19,excitatory
VAL,XNR,1.38,excitatory
XV,MR,0.72,excitatory
WB,TOL,1.15,excitatory
FR,JMR,1.39,excitatory
SE,XIR,1.71,excitatory
BWR,GNR,1.54,excitatory
WS,GZL,0.26,excitatory
GZ,BX,0.59,excitatory
BWR,EER,0.35,excitatory
VI,ZBL,0.92,excitatory
PV,WB,0.15,excitatory
GE,FMR,0.24,excitatory
JH,IX,0.83,excitatory
DY,ZT,0.16,excitatory
PIL,MF,1.26,excitatory
WI,JOR,1.17,excitatory
YZL,LXR,1.96,excitatory
WI,BA,1.38,excitatory
EDR,WDR,1.3,excitatory
LUR,RSR,0.81,excitatory
ES,DD,1.44,excitatory
WB,YN,1.05,excitatory
STL,ENR,1.26,excitatory
UOL,TOL,0.63,excitatory
UKR,KRR,0.74,excitatory
HYR,DF,1.18,excitatory
HI,YBL,1.46,excitatory
CRL,BWR,0.58,excitatory
GEL,BA,0.2,excitatory
MVR,XE,1.33,excitatory
PJL,WH,1.52,excitatory
LTR,OKL,1.26,excitatory
CBR,FH,1.46,excitatory
PIL,WI,1.98,excitatory
CYR,SAR,0.47,excitatory
JR,YTL,0.45,excitatory
YPR,FIL,0.39,excitatory
ZWL,EM,0.85,excitatory
HJ,YDR,0.15,excitatory
PIL,XMR,0.8,excitatory
NO,RRR,0.77,excitatory
RLR,FN,1.65,excitatory
HHR,ML,0.47,excitatory
FU,JT,1.71,excitatory
FUL,PZL,0.19,excitatory
ES,IDR,1.79,excitatory
XNR,MYR,1.57,excitatory
WGL,MVR,1.31,excitatory
JAL,XL,1.81,excitatory
ISL,DVR,1.03,excitatory
WDR,YBL,1.33,excitatory
HN,MXR,0.17,excitatory
EZL,OHR,1.28,excitatory
GU,MDR,0.85,excitatory
EGL,TFR,1.14,excitatory
DUL,JV,0.35,excitatory
MDR,BKL,1.02,excitatory
LTR,AE,1.31,excitatory
KOR,DML,1.13,excitatory
YT,WDR,1.88,excitatory
UE,KS,0.27,excitatory
MYR,DVR,1.02,excitatory
BWR,VKR,1.21,excitatory
KM,VZR,1.43,excitatory
NO,KRR,1.56,excitatory
GHL,YTL,1.58,excitatory
HR,MR,0.34,excitatory
GCR,BKL,1.16,excitatory
PO,OJL,0.54,excitatory
BD,ZX,0.85,excitatory
AVR,MR,2.0,excitatory
MLR,FXL,1.34,excitatory
ASL,ZM,0.65,excitatory
TOR,AXL,0.12,excitatory
ENR,IJ,1.46,excitatory
ZZR,OJL,0.29,excitatory
VI,EHL,1.55,excitatory
HDL,HA,0.44,excitatory
ES,FVR,0.75,excitatory
MF,UOL,1.76,excitatory
CJ,BER,0.89,excitatory
XUR,AIL,1.23,excitatory
DVR,FN,1.1,excitatory
WS,SD,0.66,excitatory
HK,UFR,0.37,excitatory
FA,AXL,0.76,excitatory
GML,GE,1.71,excitatory
XL,UOL,1.12,excitatory
KAL,DVL,1.33,excitatory
BA,ZUL,1.44,excitatory
ZM,HLL,0.94,excitatory
GSR,XML,1.87,excitatory
BTR,RRR,0.47,excitatory
FFR,CIL,1.53,excitatory
RGR,ECL,0.99,excitatory
MML,TIR,1.82,excitatory
HW,XUR,1.32,excitatory
GSR,WP,1.43,excitatory
FU,TJ,1.85,excitatory
VUL,NCR,1.22,excitatory
NPR,DU,1.39,excitatory
VKR,MVR,0.92,excitatory
PJR,XI,1.82,excitatory
WDL,BD,1.1,excitatory
PO,XNR,1.23,excitatory
PJR,FUL,1.15,excitatory
AS,FJR,0.59,excitatory
KS,WOL,1.29,excitatory
HHR,HR,1.45,excitatory
WJL,RGR,0.29,excitatory
FA,WP,1.0,excitatory
ZRR,YBL,1.05,excitatory
ZBL,WP,0.3,excitatory
ZGL,CYR,0.37,excitatory
EM,VUL,1.43,excitatory
YPL,SJR,1.9,excitatory
LK,DVL,1.05,excitatory
AIL,VAL,1.73,excitatory
TLR,AG,1.48,excitatory
BA,DRL,0.62,excitatory
AP,DUL,1.99,excitatory
FH,SU,0.99,excitatory
ML,DGL,0.22,excitatory
NW,NXL,0.85,excitatory
SJR,TLR,1.49,excitatory
FMR,WUR,1.8,excitatory
YN,DML,1.25,excitatory
PJL,BDR,0.78,excitatory
XI,DRL,0.27,excitatory
ZBL,GUL,0.84,excitatory
UB,PIL,1.03,excitatory
XV,CIL,0.31,excitatory
ZX,PSR,1.83,excitatory
RHR,GNR,1.3,excitatory
IO,CNR,1.36,excitatory
IVL,PJL,1.81,excitatory
XL,SU,0.12,excitatory
VI,BE,1.25,excitatory
HHR,ZWL,0.16,excitatory
DVL,RSR,0.69,excitatory
SBL,OJL,1.94,excitatory
VF,HI,1.84,excitatory
LK,STL,0.31,excitatory
DI,XE,1.11,excitatory
SD,HI,0.63,excitatory
WP,GEL,1.09,excitatory
YZL,GD,0.21,excitatory
GSR,GEL,0.58,excitatory
FXL,LEL,1.46,excitatory
CRL,HK,0.75,excitatory
PNL,VZR,0.96,excitatory
JGR,KRR,1.49,excitatory
FN,OT,1.52,excitatory
LIR,UB,1.43,excitatory
YT,SD,0.8,excitatory
HSR,KM,1.75,excitatory
TOR,ZZR,1.97,excitatory
ZZR,ZX,0.67,excitatory
TOR,IO,0.76,excitatory
VZ,ML,0.78,excitatory
FN,EGL,1.2,excitatory
UT,JT,0.62,excitatory
DRR,MF,2.0,excitatory
FVR,MVR,1.78,excitatory
HK,NW,0.36,excitatory
LEL,WF,1.69,excitatory
TIR,WDR,1.47,excitatory
JV,XI,1.13,excitatory
AE,PIL,1.52,excitatory
GER,GML,0.82,excitatory
NCR,HHR,1.12,excitatory
WOL,LTR,1.41,excitatory
CYR,KG,0.15,excitatory
WL,PZL,1.19,excitatory
WL,FU,0.52,excitatory
JT,PYL,0.22,excitatory
NO,PZL,0.19,excitatory
OOL,CNR,0.74,excitatory
GEL,IX,1.62,excitatory
HI,BX,0.35,excitatory
MCL,NPR,0.98,excitatory
BBR,DU,1.05,excitatory
BD,UG,0.22,excitatory
EUR,AOL,0.59,excitatory
